question,context,ground_truth,faithfulness,relevance,correctness
Как записаться на прием к врачу?,"Как записаться на прием к врачу? Записаться на прием к врачу можно несколькими способами:
1) Через сайт клиники: выберите врача, дату и время приема, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите врача и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: запись на прием, регистрация к врачу, полис ОМС, ДМС, сайт клиники, телефон, приложение, регистратура.

Как записаться на прием к эндокринологу? Записаться на прием к эндокринологу можно несколькими способами:
1) Через сайт клиники: выберите раздел эндокринологии, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите раздел эндокринологии и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться направление от терапевта и полис ОМС или данные страховки, если вы записываетесь по ДМС.

Как записаться на прием к офтальмологу? Записаться на прием к офтальмологу можно несколькими способами:
1) Через сайт клиники: выберите раздел офтальмологии, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите раздел офтальмологии и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС.","Записаться на прием к врачу можно несколькими способами:
1) Через сайт клиники: выберите врача, дату и время приема, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите врача и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: запись на прием, регистрация к врачу, полис ОМС, ДМС, сайт клиники, телефон, приложение, регистратура.",1.0,0.19915728271007538,0.3333333333333333
Как записаться на МРТ?,"Как записаться на МРТ? Записаться на МРТ можно несколькими способами:
1) Через сайт клиники: выберите раздел МРТ, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и уточните возможность записи на МРТ.
3) Через мобильное приложение клиники: выберите раздел диагностики и запишитесь на МРТ.
4) Лично в регистратуре клиники.
Для записи на МРТ может потребоваться направление от врача и полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: МРТ, магнитно-резонансная томография, запись, направление, полис ОМС, ДМС, сайт, телефон, приложение, регистратура.

Как записаться на УЗИ сердца? Записаться на УЗИ сердца можно несколькими способами:
1) Через сайт клиники: выберите раздел УЗИ, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите раздел УЗИ и запишитесь на процедуру.
4) Лично в регистратуре клиники.
Для записи может потребоваться направление от кардиолога или терапевта и полис ОМС или данные страховки, если вы записываетесь по ДМС.

Как записаться на прием к эндокринологу? Записаться на прием к эндокринологу можно несколькими способами:
1) Через сайт клиники: выберите раздел эндокринологии, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите раздел эндокринологии и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться направление от терапевта и полис ОМС или данные страховки, если вы записываетесь по ДМС.","Записаться на МРТ можно несколькими способами:
1) Через сайт клиники: выберите раздел МРТ, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и уточните возможность записи на МРТ.
3) Через мобильное приложение клиники: выберите раздел диагностики и запишитесь на МРТ.
4) Лично в регистратуре клиники.
Для записи на МРТ может потребоваться направление от врача и полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: МРТ, магнитно-резонансная томография, запись, направление, полис ОМС, ДМС, сайт, телефон, приложение, регистратура.",1.0,0.11486565321683884,0.3333333333333333
Какие документы нужны для первого визита?,"Какие документы нужны для первого визита? Для первого визита в клинику вам понадобятся следующие документы:
1) Паспорт или другой документ, удостоверяющий личность.
2) Полис обязательного медицинского страхования (ОМС).
3) СНИЛС (при наличии).
4) Медицинская карта (если есть).
5) Направление от врача (если запись по направлению).
6) Результаты предыдущих обследований и анализов (если есть). Ключевые слова: документы, первый визит, паспорт, полис ОМС, СНИЛС, медицинская карта, направление.

Как получить справку от врача? Получить справку от врача можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Объясните, для каких целей вам нужна справка.
3) Врач осмотрит вас и, если это необходимо, выдаст справку.
4) Справка может быть выдана в электронном виде или на бумажном носителе.
Справки выдаются на основании медицинских показаний и могут потребовать дополнительных обследований.

Как оформить больничный лист? Оформить больничный лист можно следующим образом:
1) Обратитесь к врачу в поликлинику или вызовите врача на дом.
2) Врач осмотрит вас и, если это необходимо, выдаст электронный больничный лист.
3) Информация о больничном листе будет передана в ФСС (Фонд социального страхования) в электронном виде.
4) Работодатель получит информацию о вашем больничном через систему электронного взаимодействия.
5) Вы можете отслеживать статус своего больничного листа через портал Госуслуг или сайт ФСС. Ключевые слова: больничный лист, оформление, врач, поликлиника, вызов на дом, ФСС, работодатель, Госуслуги.","Для первого визита в клинику вам понадобятся следующие документы:
1) Паспорт или другой документ, удостоверяющий личность.
2) Полис обязательного медицинского страхования (ОМС).
3) СНИЛС (при наличии).
4) Медицинская карта (если есть).
5) Направление от врача (если запись по направлению).
6) Результаты предыдущих обследований и анализов (если есть). Ключевые слова: документы, первый визит, паспорт, полис ОМС, СНИЛС, медицинская карта, направление.",1.0,0.6624006628990173,0.6666666666666666
Как подготовиться к УЗИ?,"Как подготовиться к УЗИ? Подготовка к УЗИ зависит от типа исследования:
1) УЗИ брюшной полости: не есть за 6–8 часов до исследования, не пить за 2–3 часа.
2) УЗИ почек и мочевого пузыря: выпить 1–1,5 литра воды за час до исследования и не мочиться.
3) УЗИ органов малого таза: заполненный мочевой пузырь (выпить 1 литр воды за час до исследования).
4) УЗИ щитовидной железы: специальной подготовки не требуется.
5) УЗИ сердца: специальной подготовки не требуется.
Следуйте рекомендациям вашего врача для конкретного типа УЗИ. Ключевые слова: УЗИ, подготовка, брюшная полость, почки, мочевой пузырь, органы малого таза, щитовидная железа, сердце.

Как подготовиться к УЗИ щитовидной железы? Подготовка к УЗИ щитовидной железы минимальна:
1) Специальной диеты не требуется
2) Не нужно отказываться от еды и питья
3) Перед исследованием снимите украшения с шеи и верхней части туловища
4) Продолжайте принимать все назначенные врачом препараты (включая гормональные)
5) При необходимости возьмите с собой результаты предыдущих обследований щитовидной железы
УЗИ щитовидной железы проводится в положении лежа на спине с запрокинутой головой.

Как подготовиться к ЭКГ? Подготовка к ЭКГ проста:
1) Не употребляйте кофе, крепкий чай и алкоголь за 2 часа до исследования
2) Избегайте физических нагрузок перед процедурой
3) Не курите за 30 минут до ЭКГ
4) Приходите в свободной одежде, чтобы легко было оголить грудную клетку, запястья и голени
5) Сообщите врачу о принимаемых лекарствах
6) Перед исследованием спокойно посидите 5-10 минут
ЭКГ проводится в положении лежа на спине, длится около 5-10 минут.","Подготовка к УЗИ зависит от типа исследования:
1) УЗИ брюшной полости: не есть за 6–8 часов до исследования, не пить за 2–3 часа.
2) УЗИ почек и мочевого пузыря: выпить 1–1,5 литра воды за час до исследования и не мочиться.
3) УЗИ органов малого таза: заполненный мочевой пузырь (выпить 1 литр воды за час до исследования).
4) УЗИ щитовидной железы: специальной подготовки не требуется.
5) УЗИ сердца: специальной подготовки не требуется.
Следуйте рекомендациям вашего врача для конкретного типа УЗИ. Ключевые слова: УЗИ, подготовка, брюшная полость, почки, мочевой пузырь, органы малого таза, щитовидная железа, сердце.",1.0,0.15913383662700653,0.3333333333333333
Как получить результаты анализов?,"Как получить результаты анализов? Получить результаты анализов можно несколькими способами:
1) Лично в регистратуре клиники, предъявив паспорт.
2) Через личный кабинет на сайте клиники.
3) По электронной почте, если вы указали её при сдаче анализов.
4) Через мобильное приложение клиники.
Обычно результаты готовы в течение 1–3 рабочих дней, в зависимости от типа анализа.

Как получить направление на анализы? Получить направление на анализы можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Врач осмотрит вас и, если это необходимо, выдаст направление на анализы.
3) Направление может быть выдано в электронном виде или на бумажном носителе.
4) С направлением вы можете сдать анализы в лаборатории клиники или в другой аккредитованной лаборатории.

Какие анализы нужно сдавать при диабете? При сахарном диабете регулярно сдают следующие анализы:
1) Глюкоза крови натощак и после еды
2) Гликированный гемоглобин (HbA1c) - каждые 3 месяца
3) Общий анализ крови
4) Общий анализ мочи
5) Анализ мочи на микроальбуминурию
6) Биохимический анализ крови (почечные пробы, печеночные пробы, липидный профиль)
7) Креатинин и скорость клубочковой фильтрации (eGFR)
8) Электролиты (натрий, калий, хлор)
Частота сдачи анализов определяется лечащим врачом в зависимости от типа диабета и степени компенсации.","Получить результаты анализов можно несколькими способами:
1) Лично в регистратуре клиники, предъявив паспорт.
2) Через личный кабинет на сайте клиники.
3) По электронной почте, если вы указали её при сдаче анализов.
4) Через мобильное приложение клиники.
Обычно результаты готовы в течение 1–3 рабочих дней, в зависимости от типа анализа.",1.0,0.12367027997970581,0.0
Как оформить больничный лист?,"Как оформить больничный лист? Оформить больничный лист можно следующим образом:
1) Обратитесь к врачу в поликлинику или вызовите врача на дом.
2) Врач осмотрит вас и, если это необходимо, выдаст электронный больничный лист.
3) Информация о больничном листе будет передана в ФСС (Фонд социального страхования) в электронном виде.
4) Работодатель получит информацию о вашем больничном через систему электронного взаимодействия.
5) Вы можете отслеживать статус своего больничного листа через портал Госуслуг или сайт ФСС. Ключевые слова: больничный лист, оформление, врач, поликлиника, вызов на дом, ФСС, работодатель, Госуслуги.

Как получить справку от врача? Получить справку от врача можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Объясните, для каких целей вам нужна справка.
3) Врач осмотрит вас и, если это необходимо, выдаст справку.
4) Справка может быть выдана в электронном виде или на бумажном носителе.
Справки выдаются на основании медицинских показаний и могут потребовать дополнительных обследований.

Как записаться на вакцинацию? Записаться на вакцинацию можно несколькими способами:
1) Через портал Госуслуг.
2) Через сайт клиники.
3) По телефону регистратуры клиники.
4) Лично в регистратуре клиники.
Для вакцинации может потребоваться паспорт и полис ОМС. Перед вакцинацией проконсультируйтесь с врачом о возможных противопоказаниях.","Оформить больничный лист можно следующим образом:
1) Обратитесь к врачу в поликлинику или вызовите врача на дом.
2) Врач осмотрит вас и, если это необходимо, выдаст электронный больничный лист.
3) Информация о больничном листе будет передана в ФСС (Фонд социального страхования) в электронном виде.
4) Работодатель получит информацию о вашем больничном через систему электронного взаимодействия.
5) Вы можете отслеживать статус своего больничного листа через портал Госуслуг или сайт ФСС. Ключевые слова: больничный лист, оформление, врач, поликлиника, вызов на дом, ФСС, работодатель, Госуслуги.",1.0,0.6932294368743896,0.8666666666666667
Как записаться на вакцинацию?,"Как записаться на вакцинацию? Записаться на вакцинацию можно несколькими способами:
1) Через портал Госуслуг.
2) Через сайт клиники.
3) По телефону регистратуры клиники.
4) Лично в регистратуре клиники.
Для вакцинации может потребоваться паспорт и полис ОМС. Перед вакцинацией проконсультируйтесь с врачом о возможных противопоказаниях.

Как записаться на прием к врачу? Записаться на прием к врачу можно несколькими способами:
1) Через сайт клиники: выберите врача, дату и время приема, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите врача и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: запись на прием, регистрация к врачу, полис ОМС, ДМС, сайт клиники, телефон, приложение, регистратура.

Как записаться на прием к эндокринологу? Записаться на прием к эндокринологу можно несколькими способами:
1) Через сайт клиники: выберите раздел эндокринологии, укажите дату и время, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите раздел эндокринологии и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться направление от терапевта и полис ОМС или данные страховки, если вы записываетесь по ДМС.","Записаться на вакцинацию можно несколькими способами:
1) Через портал Госуслуг.
2) Через сайт клиники.
3) По телефону регистратуры клиники.
4) Лично в регистратуре клиники.
Для вакцинации может потребоваться паспорт и полис ОМС. Перед вакцинацией проконсультируйтесь с врачом о возможных противопоказаниях.",1.0,0.19069676101207733,0.3333333333333333
Как получить направление на анализы?,"Как получить направление на анализы? Получить направление на анализы можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Врач осмотрит вас и, если это необходимо, выдаст направление на анализы.
3) Направление может быть выдано в электронном виде или на бумажном носителе.
4) С направлением вы можете сдать анализы в лаборатории клиники или в другой аккредитованной лаборатории.

Как получить результаты анализов? Получить результаты анализов можно несколькими способами:
1) Лично в регистратуре клиники, предъявив паспорт.
2) Через личный кабинет на сайте клиники.
3) По электронной почте, если вы указали её при сдаче анализов.
4) Через мобильное приложение клиники.
Обычно результаты готовы в течение 1–3 рабочих дней, в зависимости от типа анализа.

Как получить справку от врача? Получить справку от врача можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Объясните, для каких целей вам нужна справка.
3) Врач осмотрит вас и, если это необходимо, выдаст справку.
4) Справка может быть выдана в электронном виде или на бумажном носителе.
Справки выдаются на основании медицинских показаний и могут потребовать дополнительных обследований.","Получить направление на анализы можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Врач осмотрит вас и, если это необходимо, выдаст направление на анализы.
3) Направление может быть выдано в электронном виде или на бумажном носителе.
4) С направлением вы можете сдать анализы в лаборатории клиники или в другой аккредитованной лаборатории.",1.0,0.18420220911502838,0.3333333333333333
Как вызвать врача на дом?,"Как вызвать врача на дом? Вы можете вызвать врача на дом следующими способами:
1) По телефону регистратуры вашей поликлиники.
2) Через мобильное приложение клиники.
3) Через сайт клиники.
При вызове врача на дом уточните время визита и подготовьте медицинскую карту, если она у вас есть. Врач приедет в указанное время с необходимым оборудованием для осмотра.

Как записаться на прием к врачу? Записаться на прием к врачу можно несколькими способами:
1) Через сайт клиники: выберите врача, дату и время приема, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите врача и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: запись на прием, регистрация к врачу, полис ОМС, ДМС, сайт клиники, телефон, приложение, регистратура.

Как оформить больничный лист? Оформить больничный лист можно следующим образом:
1) Обратитесь к врачу в поликлинику или вызовите врача на дом.
2) Врач осмотрит вас и, если это необходимо, выдаст электронный больничный лист.
3) Информация о больничном листе будет передана в ФСС (Фонд социального страхования) в электронном виде.
4) Работодатель получит информацию о вашем больничном через систему электронного взаимодействия.
5) Вы можете отслеживать статус своего больничного листа через портал Госуслуг или сайт ФСС. Ключевые слова: больничный лист, оформление, врач, поликлиника, вызов на дом, ФСС, работодатель, Госуслуги.","Вы можете вызвать врача на дом следующими способами:
1) По телефону регистратуры вашей поликлиники.
2) Через мобильное приложение клиники.
3) Через сайт клиники.
При вызове врача на дом уточните время визита и подготовьте медицинскую карту, если она у вас есть. Врач приедет в указанное время с необходимым оборудованием для осмотра.",1.0,0.18118935823440552,0.6666666666666666
Как получить справку от врача?,"Как получить справку от врача? Получить справку от врача можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Объясните, для каких целей вам нужна справка.
3) Врач осмотрит вас и, если это необходимо, выдаст справку.
4) Справка может быть выдана в электронном виде или на бумажном носителе.
Справки выдаются на основании медицинских показаний и могут потребовать дополнительных обследований.

Как оформить больничный лист? Оформить больничный лист можно следующим образом:
1) Обратитесь к врачу в поликлинику или вызовите врача на дом.
2) Врач осмотрит вас и, если это необходимо, выдаст электронный больничный лист.
3) Информация о больничном листе будет передана в ФСС (Фонд социального страхования) в электронном виде.
4) Работодатель получит информацию о вашем больничном через систему электронного взаимодействия.
5) Вы можете отслеживать статус своего больничного листа через портал Госуслуг или сайт ФСС. Ключевые слова: больничный лист, оформление, врач, поликлиника, вызов на дом, ФСС, работодатель, Госуслуги.

Как записаться на прием к врачу? Записаться на прием к врачу можно несколькими способами:
1) Через сайт клиники: выберите врача, дату и время приема, заполните форму записи.
2) По телефону: позвоните в регистратуру клиники и запишитесь на удобное время.
3) Через мобильное приложение клиники: выберите врача и запишитесь на прием.
4) Лично в регистратуре клиники.
Для записи может потребоваться полис ОМС или данные страховки, если вы записываетесь по ДМС. Ключевые слова: запись на прием, регистрация к врачу, полис ОМС, ДМС, сайт клиники, телефон, приложение, регистратура.","Получить справку от врача можно следующим образом:
1) Обратитесь к вашему лечащему врачу.
2) Объясните, для каких целей вам нужна справка.
3) Врач осмотрит вас и, если это необходимо, выдаст справку.
4) Справка может быть выдана в электронном виде или на бумажном носителе.
Справки выдаются на основании медицинских показаний и могут потребовать дополнительных обследований.",1.0,0.5115219794679433,0.6666666666666666
